START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/23/18,01:10 PM,04:10 PM,Athletics at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: MLB.com",03/23/18,03/23/18,04:10 PM,07:10 PM,FALSE,TRUE,03/23/18,12:10 PM,03:10 PM,FREE,BUSY
03/24/18,12:05 PM,03:05 PM,Brewers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/24/18,03/24/18,03:05 PM,06:05 PM,FALSE,TRUE,03/24/18,11:05 AM,02:05 PM,FREE,BUSY
03/25/18,01:05 PM,04:05 PM,Giants at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game- A's Radio Net",03/25/18,03/25/18,04:05 PM,07:05 PM,FALSE,TRUE,03/25/18,12:05 PM,03:05 PM,FREE,BUSY
03/26/18,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park - San Francisco,"Local Radio: 95.7 FM The Game- A's Radio Net",03/26/18,03/27/18,10:15 PM,01:15 AM,FALSE,TRUE,03/26/18,06:15 PM,09:15 PM,FREE,BUSY
03/27/18,06:05 PM,09:05 PM,Athletics at Giants,AT&T Park - San Francisco,"",03/27/18,03/28/18,09:05 PM,12:05 AM,FALSE,TRUE,03/27/18,05:05 PM,08:05 PM,FREE,BUSY
03/29/18,01:05 PM,04:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",03/29/18,03/29/18,04:05 PM,07:05 PM,FALSE,TRUE,03/29/18,12:05 PM,03:05 PM,FREE,BUSY
03/30/18,07:05 PM,10:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",03/30/18,03/31/18,10:05 PM,01:05 AM,FALSE,TRUE,03/30/18,06:05 PM,09:05 PM,FREE,BUSY
03/31/18,01:05 PM,04:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",03/31/18,03/31/18,04:05 PM,07:05 PM,FALSE,TRUE,03/31/18,12:05 PM,03:05 PM,FREE,BUSY
04/01/18,01:05 PM,04:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/01/18,04/01/18,04:05 PM,07:05 PM,FALSE,TRUE,04/01/18,12:05 PM,03:05 PM,FREE,BUSY
04/02/18,07:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/02/18,04/03/18,10:05 PM,01:05 AM,FALSE,TRUE,04/02/18,06:05 PM,09:05 PM,FREE,BUSY
04/03/18,07:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/03/18,04/04/18,10:05 PM,01:05 AM,FALSE,TRUE,04/03/18,06:05 PM,09:05 PM,FREE,BUSY
04/04/18,07:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCSCA ----- Local Radio: 95.7 FM The Game",04/04/18,04/05/18,10:05 PM,01:05 AM,FALSE,TRUE,04/04/18,06:05 PM,09:05 PM,FREE,BUSY
