START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/17/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/17/18,03/17/18,01:00 PM,02:00 PM,FALSE,TRUE,03/17/18,09:00 AM,10:00 AM,FREE,BUSY
03/17/18,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium - Jupiter,"Local Radio: KBME 790",03/17/18,03/17/18,03:05 PM,04:05 PM,FALSE,TRUE,03/17/18,11:05 AM,12:05 PM,FREE,BUSY
03/18/18,12:05 PM,01:05 PM,Braves at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790",03/18/18,03/18/18,03:05 PM,04:05 PM,FALSE,TRUE,03/18/18,11:05 AM,12:05 PM,FREE,BUSY
03/19/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/19/18,03/19/18,01:00 PM,02:00 PM,FALSE,TRUE,03/19/18,09:00 AM,10:00 AM,FREE,BUSY
03/19/18,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW- MLBN ----- Local Radio: KBME 790 (delay)",03/19/18,03/19/18,03:05 PM,04:05 PM,FALSE,TRUE,03/19/18,11:05 AM,12:05 PM,FREE,BUSY
03/20/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/20/18,03/20/18,01:00 PM,02:00 PM,FALSE,TRUE,03/20/18,09:00 AM,10:00 AM,FREE,BUSY
03/21/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/21/18,03/21/18,01:00 PM,02:00 PM,FALSE,TRUE,03/21/18,09:00 AM,10:00 AM,FREE,BUSY
03/21/18,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW- ESPN2 ----- Local Radio: KBME 790 (delay)",03/21/18,03/21/18,03:05 PM,04:05 PM,FALSE,TRUE,03/21/18,11:05 AM,12:05 PM,FREE,BUSY
03/22/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/22/18,03/22/18,01:00 PM,02:00 PM,FALSE,TRUE,03/22/18,09:00 AM,10:00 AM,FREE,BUSY
03/22/18,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/22/18,03/22/18,03:05 PM,04:05 PM,FALSE,TRUE,03/22/18,11:05 AM,12:05 PM,FREE,BUSY
03/23/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/23/18,03/23/18,01:00 PM,02:00 PM,FALSE,TRUE,03/23/18,09:00 AM,10:00 AM,FREE,BUSY
03/23/18,12:05 PM,01:05 PM,Astros at Twins,CenturyLink Sports Complex - Fort Myers,"",03/23/18,03/23/18,03:05 PM,04:05 PM,FALSE,TRUE,03/23/18,11:05 AM,12:05 PM,FREE,BUSY
03/23/18,05:05 PM,06:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/23/18,03/23/18,08:05 PM,09:05 PM,FALSE,TRUE,03/23/18,04:05 PM,05:05 PM,FREE,BUSY
03/24/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/24/18,03/24/18,01:00 PM,02:00 PM,FALSE,TRUE,03/24/18,09:00 AM,10:00 AM,FREE,BUSY
03/24/18,12:05 PM,01:05 PM,Astros at Red Sox,JetBlue Park - Ft. Myers,"Local TV: MLBN ----- Local Radio: KBME 790",03/24/18,03/24/18,03:05 PM,04:05 PM,FALSE,TRUE,03/24/18,11:05 AM,12:05 PM,FREE,BUSY
03/25/18,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Stadium - Jupiter,"Local Radio: KBME 790",03/25/18,03/25/18,03:05 PM,04:05 PM,FALSE,TRUE,03/25/18,11:05 AM,12:05 PM,FREE,BUSY
03/26/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/26/18,03/26/18,01:00 PM,02:00 PM,FALSE,TRUE,03/26/18,09:00 AM,10:00 AM,FREE,BUSY
03/27/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/27/18,03/27/18,01:00 PM,02:00 PM,FALSE,TRUE,03/27/18,09:00 AM,10:00 AM,FREE,BUSY
03/28/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/28/18,03/28/18,01:00 PM,02:00 PM,FALSE,TRUE,03/28/18,09:00 AM,10:00 AM,FREE,BUSY
03/29/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/29/18,03/29/18,01:00 PM,02:00 PM,FALSE,TRUE,03/29/18,09:00 AM,10:00 AM,FREE,BUSY
03/30/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/30/18,03/30/18,01:00 PM,02:00 PM,FALSE,TRUE,03/30/18,09:00 AM,10:00 AM,FREE,BUSY
03/31/18,10:00 AM,11:00 AM,Ballpark Tours,Minute Maid Park - Houston,"",03/31/18,03/31/18,01:00 PM,02:00 PM,FALSE,TRUE,03/31/18,09:00 AM,10:00 AM,FREE,BUSY
04/09/18,07:10 PM,08:10 PM,Astros at Twins,Target Field - Minneapolis,"",04/09/18,04/09/18,10:10 PM,11:10 PM,FALSE,TRUE,04/09/18,06:10 PM,07:10 PM,FREE,BUSY
04/10/18,07:10 PM,08:10 PM,Astros at Twins,Target Field - Minneapolis,"",04/10/18,04/10/18,10:10 PM,11:10 PM,FALSE,TRUE,04/10/18,06:10 PM,07:10 PM,FREE,BUSY
04/11/18,12:10 PM,01:10 PM,Astros at Twins,Target Field - Minneapolis,"",04/11/18,04/11/18,03:10 PM,04:10 PM,FALSE,TRUE,04/11/18,11:10 AM,12:10 PM,FREE,BUSY
04/16/18,09:10 PM,10:10 PM,Astros at Mariners,Safeco Field - Seattle,"",04/17/18,04/17/18,12:10 AM,01:10 AM,FALSE,TRUE,04/16/18,08:10 PM,09:10 PM,FREE,BUSY
04/17/18,09:10 PM,10:10 PM,Astros at Mariners,Safeco Field - Seattle,"",04/18/18,04/18/18,12:10 AM,01:10 AM,FALSE,TRUE,04/17/18,08:10 PM,09:10 PM,FREE,BUSY
